drug_name	active_ingredients
ALCOHOL 5% AND DEXTROSE 5%	ALCOHOL; DEXTROSE
ALCOHOL 10% AND DEXTROSE 5%	ALCOHOL; DEXTROSE
HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
FOLVRON	FERROUS SULFATE; FOLIC ACID
BEROCCA PN	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E
SULFONAMIDES DUPLEX	SULFADIAZINE; SULFAMERAZINE
NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
CAFERGOT	CAFFEINE; ERGOTAMINE TARTRATE
TERFONYL	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
TRIPLE SULFAS	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
PERCODAN-DEMI	ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE
PERCODAN	ASPIRIN; OXYCODONE HYDROCHLORIDE
PREFRIN-A	PHENYLEPHRINE HYDROCHLORIDE; PYRILAMINE MALEATE
PHENERGAN W/ CODEINE	CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE
PHENERGAN VC W/ CODEINE	CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
TPN	NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; TYROSINE
RAVOCAINE AND NOVOCAIN W/ LEVOPHED	NOREPINEPHRINE BITARTRATE; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE
RAVOCAINE AND NOVOCAIN W/ NEO-COBEFRIN	LEVONORDEFRIN; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE
PHENERGAN VC	PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
M.V.I.-12 ADULT	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
DICURIN PROCAINE	PROCAINE MERETHOXYLLINE; THEOPHYLLINE
SERPASIL-APRESOLINE	HYDRALAZINE HYDROCHLORIDE; RESERPINE
AMBENYL	BROMODIPHENHYDRAMINE HYDROCHLORIDE; CODEINE PHOSPHATE
RENOGRAFIN-76	DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
RENOGRAFIN-60	DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
RENOVIST II	DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
RENOVIST	DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
BIPHETAMINE 20	AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
BIPHETAMINE 12.5	AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
BIPHETAMINE 7.5	AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
METIMYD	PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM
HYPAQUE-M,90%	DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
HYPAQUE-M,75%	DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
BENDECTIN	DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE
PMB 400	ESTROGENS, CONJUGATED; MEPROBAMATE
PMB 200	ESTROGENS, CONJUGATED; MEPROBAMATE
